title,web_url,description,category
"Mapa de les divisions territorials (districtes, barris i seccions censals) fins al 2021",https://opendata.l-h.cat/Urbanisme-i-infraestructures/Mapa-de-les-divisions-territorials-districtes-barr/ue62-rgvq,"Mapa de les divisions territorials per districtes, barris i seccions censals de L'Hospitalet",Urbanisme i infraestructures
Execució del pressupost de despeses,https://opendata.l-h.cat/Sector-públic/Execució-del-pressupost-de-despeses/p3pi-beag,"Execució del pressupost de despeses (dades mensuals).
Les dades d'execució fan referència a l'últim dia del mes.",Sector públic
Guia oficial de noms de carrers,https://opendata.l-h.cat/Urbanisme-i-infraestructures/Guia-oficial-de-noms-de-carrers/mxs6-mjeq,"Guia oficial de nom dels carrers, carreteres i camins de la ciutat (Nomenclàtor).",Urbanisme i infraestructures
Agenda del dia de l'alcaldessa,https://opendata.l-h.cat/Sector-públic/Agenda-del-dia-de-l-alcaldessa/ptx9-uf77,Agenda diària de l'alcaldessa,Sector públic
Agenda d'actes de Regidores i Regidors,https://opendata.l-h.cat/Sector-públic/Agenda-d-actes-de-Regidores-i-Regidors/gwwe-thg9,Agenda institucional d'actes dels Regidors i Regidores,Sector públic
Indicadors de gestió de la ciutat de L'Hospitalet als Cercles de comparació intermunicipals de la Diputació de Barcelona (2014-2020),https://opendata.l-h.cat/Sector-públic/Indicadors-de-gestió-de-la-ciutat-de-L-Hospitalet-/ycyf-576z,"Valors corresponents als indicadors de l'Ajuntament de L'Hospitalet en el projecte dels Cercles de comparació intermunicipals de la Diputació de Barcelona comparats amb la mitjana dels municipis de més de 75.000 habitants que participen en cada cercle.
Les dades relatives als anys 2014-2019 d'aquest fitxer invaliden les versions anteriors d'aquest conjunt de dades. La Diputació de Barcelona realitza una tasca de revisió permanent de les dades i és possible que algun valor del període 2014-2019 s'hagi modificat com a conseqüència del procés de depuració.",Sector públic
BiciBox,https://opendata.l-h.cat/Transport/BiciBox/qjcy-xqxx,Relació de les ubicacions i ocupacions de BiciBox.,Transport
Calendari laboral de L'Hospitalet,https://opendata.l-h.cat/Sector-Públic/Calendari-laboral-de-L-Hospitalet/eyp9-9xit,Calendari de dies festius,Sector Públic
"Població per territori, sexe i grup d'edat (dades mensuals)",https://opendata.l-h.cat/Demografia/Població-per-territori-sexe-i-grup-d-edat-dades-me/d8bf-riyu,"Evolució del nombre de persones empadronades a la ciutat per districte, barri, secció, grup d'edat i sexe segons el padró municipal provisional a final de cada mes.",Demografia
Mapa  dels districtes (fins al 2021),https://opendata.l-h.cat/Urbanisme-i-infraestructures/Mapa-dels-districtes-fins-al-2021-/v98y-nste,Mapa amb les delimitacions dels districtes de L'Hospitalet,Urbanisme i infraestructures
Adreces postals,https://opendata.l-h.cat/Urbanisme-i-infraestructures/Adreces-postals/gdc2-dy8i,Relació de les adreces postals vàlides de la ciutat.,Urbanisme i infraestructures
Població per nacionalitat i lloc de naixement (dades mensuals),https://opendata.l-h.cat/Demografia/Població-per-nacionalitat-i-lloc-de-naixement-dade/2rqr-s6wd,Població a final de cada mes per nacionalitat i lloc de naixement.,Demografia
Mapa amb la localització de les escoles bressol i llar d'infants,https://opendata.l-h.cat/Urbanisme-i-infraestructures/Mapa-amb-la-localització-de-les-escoles-bressol-i-/qny7-pfej,Mapa amb la localització de les escoles bressol i llars d'infants i la delimitació dels barris,Urbanisme i infraestructures
Incidències de neteja finalitzades (2016-2021),https://opendata.l-h.cat/Urbanisme-i-infraestructures/Incidències-de-neteja-finalitzades-2016-2021-/4qzw-28zi,Incidències de neteja finalitzades entre els anys 2016 i 2021.,Urbanisme i infraestructures
Execució del pressupost d'ingressos,https://opendata.l-h.cat/Sector-públic/Execució-del-pressupost-d-ingressos/utmw-9atv,"Execució del pressupost d'ingressos (dades mensuals)
Les dades d'execució fan referència a l'últim dia del mes.",Sector públic
Qualitat de l'aire,https://opendata.l-h.cat/Medi-ambient/Qualitat-de-l-aire/csm2-emdb,Paràmetres mesurats de qualitat de l'aire.,Medi ambient
Agenda institucional,https://opendata.l-h.cat/dataset/Agenda-institucional/ex5p-brb6,Agenda d'actes dels Regidors.,-
Mapa de les seccions censals (fins al 2021),https://opendata.l-h.cat/Urbanisme-i-infraestructures/Mapa-de-les-seccions-censals-fins-al-2021-/udv7-j5a9,Mapa amb les delimitacions de les seccions censals de L'Hospitalet,Urbanisme i infraestructures
Gràfic dels resultats a les eleccions municipals de 2015,https://opendata.l-h.cat/Sector-públic/Gràfic-dels-resultats-a-les-eleccions-municipals-d/qarv-h27i,Evolució dels resultats a les eleccions municipals amb la distribució del nombre de regidors,Sector públic
Població per edat i sexe (dades mensuals),https://opendata.l-h.cat/Demografia/Població-per-edat-i-sexe-dades-mensuals-/ykct-kr3y,"Evolució de la població per districtes, barris, edat i sexe segons el padró municipal amb dades a final de cada mes.",Demografia
Divisió territorial,https://opendata.l-h.cat/Urbanisme-i-infraestructures/Divisió-territorial/ia8b-x958,"Divisió territorial de la ciutat (districtes, barris, zones educatives, codis postals, ...).",Urbanisme i infraestructures
Mapa de localització de les parades de taxi,https://opendata.l-h.cat/Transport/Mapa-de-localització-de-les-parades-de-taxi/7qvj-34mm,Localització de les parades de taxi de la ciutat amb indicació de la seva capacitat.,Transport
Entitats registrades al Registre Municipal d'Entitats,https://opendata.l-h.cat/Societat-i-benestar/Entitats-registrades-al-Registre-Municipal-d-Entit/7gyi-qztc,Relació d'entitats registrades al Registre Municipal d'Entitats,Societat i benestar
Mapa amb la localització de les farmàcies,https://opendata.l-h.cat/Salut/Mapa-amb-la-localització-de-les-farmàcies/ci3i-dujm,Mapa amb la localització de les farmàcies de L'Hospitalet,Salut
Evolució dels resultats a les eleccions municipals,https://opendata.l-h.cat/Sector-públic/Evolució-dels-resultats-a-les-eleccions-municipals/rgty-dgrr,Evolució dels resultats a les eleccions municipals amb la distribució del nombre de regidors,Sector públic
Escoles bressol,https://opendata.l-h.cat/Educació/Escoles-bressol/fn79-ixb4,Escoles bressol del municipi,Educació
Execució del pressupost de despeses (exercicis anteriors),https://opendata.l-h.cat/Sector-públic/Execució-del-pressupost-de-despeses-exercicis-ante/bta8-2g8c,Execució del pressupost de despeses d'exercicis tancats.,Sector públic
Farmàcies,https://opendata.l-h.cat/Salut/Farmàcies/7kue-y52m,Farmàcies existents a la ciutat,Salut
Gràfic del pressupost inicial de l'any 2017. Qui fa la despesa ?,https://opendata.l-h.cat/Sector-públic/Gràfic-del-pressupost-inicial-de-l-any-2017-Qui-fa/c8ej-842s,Pressupost inicial de l'any 2017 segons classificació orgànica,Sector públic
Calendari del contribuent,https://opendata.l-h.cat/Hisenda/Calendari-del-contribuent/62zw-26gc,Calendari del contribuent. Període voluntari i dia de càrrec de rebuts domiciliats.,Hisenda
Gràfic del pressupost inicial de l'any 2017 per política de despesa,https://opendata.l-h.cat/Sector-públic/Gràfic-del-pressupost-inicial-de-l-any-2017-per-po/463a-r9e5,Pressupost inicial de l'any 2017 per política de despesa,Sector públic
Gràfic del pressupost inicial de l'any 2017. D'on venen els diners ?,https://opendata.l-h.cat/Sector-públic/Gràfic-del-pressupost-inicial-de-l-any-2017-D-on-v/tept-82cb,Pressupost inicial de l'any 2017. D'on venen els diners ?,Sector públic
Parades de taxi,https://opendata.l-h.cat/Transport/Parades-de-taxi/dy4x-8tkn,Localització de les parades de taxi de la ciutat amb indicació de la seva capacitat.,Transport
Incidències de neteja finalitzades de l'any actual,https://opendata.l-h.cat/Urbanisme-i-infraestructures/Incidències-de-neteja-finalitzades-de-l-any-actual/wkg5-y6jf,Incidències de neteja finalitzades de l'any en curs,Urbanisme i infraestructures
Modificacions de crèdit de l'exercici 2017,https://opendata.l-h.cat/Sector-públic/Modificacions-de-crèdit-de-l-exercici-2017/89z9-v2vu,Modificacions de crèdit realitzades sobre les partides comptables de l'exercici 2017.,Sector públic
Contenidors per a la recollida selectiva de residus,https://opendata.l-h.cat/Urbanisme-i-infraestructures/Contenidors-per-a-la-recollida-selectiva-de-residu/hddx-n5hs,Ubicació dels contenidors per a la recollida selectiva de residus.,Urbanisme i infraestructures
Eleccions al Parlament de Catalunya desembre 2017 (resultats),https://opendata.l-h.cat/Sector-públic/Eleccions-al-Parlament-de-Catalunya-desembre-2017-/at85-d5tc,Resultats definitius de les candidatures a les eleccions al Parlament de Catalunya del 21 de desembre del 2017.,Sector públic
Execució del pressupost d'ingressos (exercicis anteriors),https://opendata.l-h.cat/Sector-públic/Execució-del-pressupost-d-ingressos-exercicis-ante/vhgn-zj6m,Execució del pressupost d'ingressos d'exercicis tancats.,Sector públic
Dades obertes en temps real,https://opendata.l-h.cat/Sector-públic/Dades-obertes-en-temps-real/9yhy-eu66,Ítems de dades obertes que s'actualitzen amb alta periodicitat.,Sector públic
Eleccions Generals juny 2016 (Resultats),https://opendata.l-h.cat/Sector-Públic/Eleccions-Generals-juny-2016-Resultats-/uyc5-xaxf,Resultats definitius de les Eleccions Generals de juny del 2016.,Sector Públic
Enquesta sobre els barris de L'Hospitalet 2017,https://opendata.l-h.cat/Sector-públic/Enquesta-sobre-els-barris-de-L-Hospitalet-2017/er2h-a4ed,Totes les entrevistes amb les respostes de l'enquesta,Sector públic
Calendari del contribuent de l'any 2018,https://opendata.l-h.cat/Hisenda/Calendari-del-contribuent-de-l-any-2018/jczq-4tzp,Calendari del contribuent. Període voluntari i dia de càrrec de rebuts domiciliats.,Hisenda
Indicadors estadístics de nivell i distribució de renda,https://opendata.l-h.cat/Economia/Indicadors-estadístics-de-nivell-i-distribució-de-/ri9k-q5si,"Indicadors estadístics de nivell i distribució de renda de les llars a nivell municipal, districte i secció cendal a partir de l'enllaç d'informació de l'INE amb dades tributàries de l'AEAT amb població del padró d'habitants a 31 de desembre i dades de territori.
Descripció del projecte: https://www.ine.es/experimental/atlas/exp_atlas_proyecto.pdf",Economia
