,title,description,web_url,category,origen,notes_ca,url_busqueda_ca,organization_parent_name_ca
56,Patrimoni cultural,Patrimoni cultural de L'Hospitalet de Llobregat,https://opendata.l-h.cat/Cultura-i-oci/Patrimoni-cultural/mnw2-hjsc,Cultura i oci,hospitalet,,,
57,Baròmetre municipal de l'any 2016,Baròmetre municipal de l'any 2016,https://opendata.l-h.cat/Sector-Públic/Baròmetre-municipal-de-l-any-2016/iedv-nj7i,Sector Públic,hospitalet,,,
58,Modificacions de crèdit de l'exercici 2018,Modificacions de crèdit realitzades sobre les partides comptables de l'exercici 2018.,https://opendata.l-h.cat/Sector-públic/Modificacions-de-crèdit-de-l-exercici-2018/nzbx-8fsz,Sector públic,hospitalet,,,
59,Covid Infogram 1 Total,-,https://opendata.l-h.cat/Sector-públic/Covid-Infogram-1-Total/m7mh-ks86,Sector públic,hospitalet,,,
60,Pressupost inicial d'ingressos,Pressupost inicial d'ingressos (dades per exercicis anuals).,https://opendata.l-h.cat/Sector-públic/Pressupost-inicial-d-ingressos/4wzk-7ymy,Sector públic,hospitalet,,,
61,Pressupost inicial de despeses,Pressupost inicial de despeses (dades per exercicis anuals).,https://opendata.l-h.cat/Sector-públic/Pressupost-inicial-de-despeses/rm24-duhn,Sector públic,hospitalet,,,
62,Baròmetre municipal de l'any 2019,Baròmetre municipal de l'any 2019,https://opendata.l-h.cat/Sector-públic/Baròmetre-municipal-de-l-any-2019/7q5x-bs7r,Sector públic,hospitalet,,,
63,Baròmetre municipal de l'any 2018,Baròmetre municipal de l'any 2018,https://opendata.l-h.cat/Sector-públic/Baròmetre-municipal-de-l-any-2018/u7hm-qhcd,Sector públic,hospitalet,,,
64,Eleccions municipals maig 2011 (resultats),Resultats de les eleccions municipals de maig del 2011.,https://opendata.l-h.cat/Sector-públic/Eleccions-municipals-maig-2011-resultats-/qkur-m4yr,Sector públic,hospitalet,,,
65,Eleccions al Parlament de Catalunya desembre 2017 (participació),Dades de participació de les eleccions al Parlament de Catalunya del 21 de desembre del 2017.,https://opendata.l-h.cat/Sector-públic/Eleccions-al-Parlament-de-Catalunya-desembre-2017-/65df-upi4,Sector públic,hospitalet,,,
66,Eleccions municipals maig 2019 (resultats),Resultats de les eleccions municipals del 26 de maig del 2019.,https://opendata.l-h.cat/Sector-públic/Eleccions-municipals-maig-2019-resultats-/7ms5-24qs,Sector públic,hospitalet,,,
67,Eleccions municipals maig 2015 (participació),Dades de participació de les eleccions municipals de maig del 2015.,https://opendata.l-h.cat/Sector-Públic/Eleccions-municipals-maig-2015-participació-/cpwm-2n4h,Sector Públic,hospitalet,,,
68,Eleccions Generals juny 2016 (participació),Dades sobre participació a les eleccions generals de juny de 2016.,https://opendata.l-h.cat/Sector-Públic/Eleccions-Generals-juny-2016-participació-/fua8-rkpv,Sector Públic,hospitalet,,,
69,Eleccions municipals maig 2011 (participació),Dades de participació a les eleccions municipals de maig del 2011,https://opendata.l-h.cat/Sector-Públic/Eleccions-municipals-maig-2011-participació-/2nky-gdtb,Sector Públic,hospitalet,,,
70,Modificacions de crèdit de l'exercici 2019,Modificacions de crèdit realitzades sobre les partides comptables de l'exercici 2019.,https://opendata.l-h.cat/Sector-públic/Modificacions-de-crèdit-de-l-exercici-2019/tzdg-am2i,Sector públic,hospitalet,,,
71,Guals,Guals actius de L'Hospitalet de Llobregat,https://opendata.l-h.cat/Urbanisme-i-infraestructures/Guals/s4ng-bnqm,Urbanisme i infraestructures,hospitalet,,,
72,Baròmetre municipal de l'any 2020,Dades del baròmetre municipal de l'any 2020. És un fitxer amb camps separats amb tabuladors. No es poden carregar les dades directament a Socrata ja que es supera el límit de 500 columnes.,https://opendata.l-h.cat/Sector-públic/Baròmetre-municipal-de-l-any-2020/mjz9-wwyv,Sector públic,hospitalet,,,
73,Baròmetre municipal de l'any 2017,Matriu de dades del baròmetre de l'any 2017,https://opendata.l-h.cat/Sector-públic/Baròmetre-municipal-de-l-any-2017/mvt2-u8kq,Sector públic,hospitalet,,,
74,Divisions territorials - Barris,Delimitació dels barris (a partir de l'any 2021),https://opendata.l-h.cat/Urbanisme-i-infraestructures/Divisions-territorials-Barris/6ekw-29et,Urbanisme i infraestructures,hospitalet,,,
75,Eleccions Generals desembre 2015 (resultats),Resultats per meses a les eleccions generals de desembre de 2015.,https://opendata.l-h.cat/Sector-públic/Eleccions-Generals-desembre-2015-resultats-/sy3q-2eee,Sector públic,hospitalet,,,
76,Arbres,Inventari d'arbres de la ciutat.,https://opendata.l-h.cat/Medi-ambient/Arbres/s5nq-vs2y,Medi ambient,hospitalet,,,
77,Mapa dels barris,Mapa amb la delimitació dels barris (a partir de l'any 2021),https://opendata.l-h.cat/Urbanisme-i-infraestructures/Mapa-dels-barris/ghmb-uskh,Urbanisme i infraestructures,hospitalet,,,
78,Eleccions Generals abril 2019 (resultats),Resultats electorals de les eleccions generals d'abril de 2019.,https://opendata.l-h.cat/Sector-públic/Eleccions-Generals-abril-2019-resultats-/u8p5-3r4e,Sector públic,hospitalet,,,
